title,imdb_id,production_companies
Mad Foxes,tt0083291,Reflection Film
Gymkata,tt0089243,Metro-Goldwyn-Mayer
Galaxy of Terror,tt0082431,New World Pictures
Mac and Me,tt0095560,Orion Pictures
Mac and Me,tt0095560,Mac and Me Joint Venture
Sakura Killers,tt0093910,Bonaire Films
The Punisher,tt0098141,New World Pictures
The Punisher,tt0098141,Marvel Entertainment
Battle Beyond the Stars,tt0080421,New World Pictures
The Night Stalker,tt0093621,Stalker Productions
The Night Stalker,tt0093621,Almi-Chrystie Productions
Double Dragon,tt0106761,Gramercy Pictures
Shock 'Em Dead,tt0102910,Noma Productions
Undefeatable,tt0111552,ITC
Undefeatable,tt0111552,Filmswell International Ltd.
Undefeatable,tt0111552,Action Star Pictures
W Is War,tt0220843,Triple A Films
W Is War,tt0220843,Cinex Films
For Y'ur Height Only,tt0200642,Liliw Films International
Ninja Silent Assassin,tt0199865,IFD Films & Arts Company
Samurai Cop,tt0130236,Hollywood Royal Pictures
Double Trouble,tt0061595,Metro-Goldwyn-Mayer
Rappin',tt0089883,Cannon Group
Rappin',tt0089883,Golan-Globus Productions
The Perfect Weapon,tt0102655,Paramount
Deadly Prey,tt0092848,Action International Pictures
Starcrash,tt0079946,New World Pictures
Starcrash,tt0079946,Nat and Patrick Wachsberger Productions
Arena,tt0101366,Empire Pictures
Arena,tt0101366,Altar Productions
Future Kick,tt0101931,Concorde-New Horizons
Galaxina,tt0080771,Crown International Pictures
Galaxina,tt0080771,Marimark Productions
Star Slammer,tt0087945,Viking International Pictures
Star Slammer,tt0087945,Worldwide Entertainment Corporation
Jack Frost,tt0116671,Moonstone Entertainment
Jack Frost,tt0116671,Storyteller Films Ltd.
Jack Frost,tt0116671,Frost Bite Films Ltd.
Santa with Muscles,tt0117550,Hit Entertainment
Santa with Muscles,tt0117550,Cabin Fever Entertainment
Santa with Muscles,tt0117550,Cineplex Odeon Films
Elves,tt0099496,Triangle Film Corporation
Elves,tt0099496,Fitzgerald Film Corporation
Neon Maniacs,tt0127045,Cimarron Productions
Dark Night of the Scarecrow,tt0082235,Wizan Productions
Prom Night,tt0081383,Guardian Trust Company
Prom Night,tt0081383,Simcom Limited
Prom Night,tt0081383,Prom Night Productions
Cheerleader Camp,tt0092744,Daiei Film
Cheerleader Camp,tt0092744,Prism Entertainment
Tuff Turf,tt0090213,New World Pictures
Tuff Turf,tt0090213,Planet Productions
Tuff Turf,tt0090213,New World Production
Class of Nuke 'Em High,tt0090849,Troma Entertainment
Class of 1984,tt0083739,PSO
Class of 1984,tt0083739,Guerilla High Productions
Class of 1984,tt0083739,United Film Distribution Company (UFDC)
Exterminators of the Year 3000,tt0085514,2T Produzione Film
Exterminators of the Year 3000,tt0085514,Globe Film
1990: The Bronx Warriors,tt0085124,Deaf Internacional Film SrL.
2019: After the Fall of New York,tt0085125,Les Films du Griffon
2019: After the Fall of New York,tt0085125,Nuova Dania Cinematografica
2019: After the Fall of New York,tt0085125,Medusa Distribuzione
Equalizer 2000,tt0091012,Premiere Productions
Hands of Steel,tt0091166,Dania Film
Hands of Steel,tt0091166,National Cinematografica
Hands of Steel,tt0091166,Medusa Distribuzione
